57_21-Oct-2020 (00:51:20.785255);
58_21-Oct-2020 (01:51:33.251340);
62_21-Oct-2020 (02:51:44.831729);
62_21-Oct-2020 (03:51:56.754354);
62_21-Oct-2020 (04:52:09.515612);
64_21-Oct-2020 (05:52:21.608225);
63_21-Oct-2020 (06:52:37.336739);
62_21-Oct-2020 (07:52:50.195761);
62_21-Oct-2020 (08:53:01.695762);
64_21-Oct-2020 (09:53:14.075698);
69_21-Oct-2020 (11:53:34.180710);
70_21-Oct-2020 (12:53:45.329845);
69_21-Oct-2020 (13:53:56.889722);
71_21-Oct-2020 (14:54:08.049204);
70_21-Oct-2020 (15:54:19.830106);
69_21-Oct-2020 (16:54:31.364566);
71_21-Oct-2020 (17:54:42.803375);
68_21-Oct-2020 (18:54:54.211115);
65_21-Oct-2020 (19:55:05.799184);
63_21-Oct-2020 (20:55:17.333417);
63_21-Oct-2020 (21:55:28.435329);
63_21-Oct-2020 (22:55:39.676521);
62_21-Oct-2020 (23:55:50.839291);
61_22-Oct-2020 (00:56:03.209034);
61_22-Oct-2020 (01:56:14.768821);
61_22-Oct-2020 (02:56:26.240235);
58_22-Oct-2020 (03:56:39.209742);
58_22-Oct-2020 (04:56:50.794731);
58_22-Oct-2020 (05:57:03.258231);
57_22-Oct-2020 (06:57:15.143870);
57_22-Oct-2020 (07:57:29.978513);
57_22-Oct-2020 (08:57:41.918997);
62_22-Oct-2020 (09:57:53.228515);
67_22-Oct-2020 (10:58:15.947205);
71_22-Oct-2020 (11:58:27.593248);
74_22-Oct-2020 (12:58:39.769342);
77_22-Oct-2020 (13:58:50.404947);
76_22-Oct-2020 (14:59:02.905128);
78_22-Oct-2020 (15:59:14.915362);
78_22-Oct-2020 (16:59:26.195124);
79_22-Oct-2020 (17:59:38.466446);
76_22-Oct-2020 (18:59:51.870014);
73_22-Oct-2020 (20:00:04.375685);
71_22-Oct-2020 (21:00:23.849073);
68_22-Oct-2020 (22:00:35.871170);
67_22-Oct-2020 (23:00:47.491116);
65_23-Oct-2020 (00:01:01.754763);
64_23-Oct-2020 (01:01:20.214933);
63_23-Oct-2020 (02:01:31.391942);
67_23-Oct-2020 (03:01:42.985634);
65_23-Oct-2020 (04:01:55.453307);
65_23-Oct-2020 (05:02:12.078551);
64_23-Oct-2020 (06:02:25.110532);
64_23-Oct-2020 (07:02:50.985214);
63_23-Oct-2020 (08:03:03.693984);
65_23-Oct-2020 (09:03:17.765499);
67_23-Oct-2020 (10:03:29.872846);
70_23-Oct-2020 (11:03:41.323436);
75_23-Oct-2020 (12:03:52.780395);
77_23-Oct-2020 (13:04:05.584093);
69_23-Oct-2020 (14:04:17.732399);
74_23-Oct-2020 (15:04:30.536497);
77_23-Oct-2020 (16:05:01.659465);
76_23-Oct-2020 (17:05:13.513412);
69_23-Oct-2020 (18:05:25.243047);
66_23-Oct-2020 (19:05:37.069935);
67_23-Oct-2020 (20:05:49.590283);
67_23-Oct-2020 (20:27:13.632681);
66_23-Oct-2020 (21:27:25.121416);
64_23-Oct-2020 (22:27:36.912751);
59_23-Oct-2020 (23:27:49.328153);
53_24-Oct-2020 (00:28:16.294460);
51_24-Oct-2020 (01:28:27.658376);
49_24-Oct-2020 (02:28:38.784169);
49_24-Oct-2020 (03:28:50.268290);
48_24-Oct-2020 (04:29:01.570580);
47_24-Oct-2020 (05:29:14.231271);
46_24-Oct-2020 (06:29:26.162452);
46_24-Oct-2020 (07:29:37.124110);
44_24-Oct-2020 (08:29:49.072955);
44_24-Oct-2020 (09:30:00.949949);
44_24-Oct-2020 (10:30:13.441849);
45_24-Oct-2020 (11:30:25.449864);
46_24-Oct-2020 (12:30:37.064845);
49_24-Oct-2020 (13:30:48.421733);
51_24-Oct-2020 (14:31:00.244136);
51_24-Oct-2020 (15:31:11.954816);
52_24-Oct-2020 (16:31:24.072076);
50_24-Oct-2020 (17:31:43.936939);
49_24-Oct-2020 (18:31:55.560642);
47_24-Oct-2020 (19:32:08.191438);
46_24-Oct-2020 (20:32:19.622194);
45_24-Oct-2020 (21:32:32.697146);
46_24-Oct-2020 (22:32:44.382458);
46_24-Oct-2020 (23:32:56.068679);
46_25-Oct-2020 (00:33:07.713386);
45_25-Oct-2020 (01:33:19.977519);
45_25-Oct-2020 (02:33:31.404564);
46_25-Oct-2020 (03:33:42.890908);
46_25-Oct-2020 (04:33:58.977583);
46_25-Oct-2020 (05:34:11.032183);
46_25-Oct-2020 (06:34:23.831277);
46_25-Oct-2020 (07:34:35.732254);
43_25-Oct-2020 (08:34:47.479869);
43_25-Oct-2020 (09:34:59.230916);
44_25-Oct-2020 (10:35:10.322911);
45_25-Oct-2020 (11:35:22.180832);
47_25-Oct-2020 (12:35:33.643928);
48_25-Oct-2020 (13:35:45.651052);
50_25-Oct-2020 (14:35:57.001344);
53_25-Oct-2020 (15:36:09.781651);
53_25-Oct-2020 (16:36:21.073933);
53_25-Oct-2020 (17:36:33.168079);
53_25-Oct-2020 (18:36:45.938786);
52_25-Oct-2020 (19:36:57.389794);
51_25-Oct-2020 (20:37:09.405385);
51_25-Oct-2020 (21:37:21.447616);
50_25-Oct-2020 (22:37:33.987545);
50_25-Oct-2020 (23:29:49.475099);
